2099
aller  --- du
remonte  --- avenue
a  --- Chambre
reprends  --- &
sais  --- est
me  --- retrouve
les  --- longer
traverser  --- boulevard
prendre  --- crois
crois  --- que
que  --- remonter
traverser  --- cours
continuer  --- avenue
a  --- trams
traverses  --- tout
passes  --- rond
montes  --- ligne
a  --- stade
crois  --- que
indiqué  --- gare
traverses  --- champ
a  --- cabine
comporte  --- nombre
les  --- proposons
que  --- refusées
que  --- retrouve
mettre  --- amour
que  --- acceptons
instauré  --- démocratie
jalonnent  --- histoire
arraché  --- suffrage
arraché  --- liberté
arraché  --- liberté
voulez  --- continuer
emprunte  --- rue
prends  --- rue
remontant  --- rue
qu  --- appelle
s  --- appelait
sillonnant  --- région
crois  --- que
avais  --- circonscription
voulais  --- travailler
qu  --- f~
voulait  --- femme
dit  --- corromp~
corrompront  --- officiers
me  --- connaître
m  --- installer
trouvé  --- endroit
avaient  --- besoin
faire  --- retour
fait  --- ans
passé  --- semaines
trouvé  --- que
m  --- installer
fait  --- études
appris  --- anglais
m  --- aidée
fini  --- études
fait  --- PCB
voulais  --- retourner
lâché  --- ça
goûté  --- Paris
veut  --- aller
faisiez  --- études
fait  --- études
avait  --- &
rencontré  --- Monfreid
faire  --- conférences
lu  --- livres
avais  --- envie
voulais  --- aller
avait  --- famille
avait  --- empire
m  --- invitée
le  --- faire
eu  --- remplaçante
trouver  --- place
dit  --- sont
avons  --- besoin
combien  --- avez
dit  --- avez
avons  --- vingt
rendez  --- compte
étaient  --- millions
avaient  --- docteurs
dit  --- venez
vous  --- installer
vous  --- installer
voulez  --- installer
voudrait  --- que
fassiez  --- &
avais  --- peur
m  --- installer
voulais  --- aller
me  --- disaient
disaient  --- rien
dit  --- vais
fini  --- tour
décidé  --- que
arrête  --- écrivent
arrête  --- vague
est  --- constate
faut  --- écrit
faut  --- appeler
affirmer  --- qu
boude  --- plaisir
si  --- dit
nier  --- évidence
voulait  --- croire
transformé  --- essai
reconnaît  --- victoire
écrit  --- dispose
leçon  --- tirer
faut  --- que
tenir  --- compte
change  --- politique
le  --- penser
répond  --- faut
faut  --- accélérer
accélérer  --- rythme
balaye  --- pensée
disent  --- qu
faut  --- aller
voyons  --- enjeu
considérer  --- que
faut  --- voir
voir  --- message
soulignent  --- faiblesse
est  --- écrit
l  --- oublié
fut  --- écrit
sauvetage  --- écrit
occupe  --- place
dire  --- merci
que  --- faire
va  --- demande
va  --- pronostique
faire  --- chose
chercher  --- corner
trouver  --- corner
poussé  --- ballon
semblerait  --- que
perdu  --- ballon
sifflé  --- penalty
pris  --- carton
vous  --- signale
repousse  --- ballon
expédie  --- ballon
tirer  --- corner
le  --- tire
mettre  --- ballon
frappe  --- ballon
le  --- capter
le  --- contrer
le  --- laisse
marque  --- but
armer  --- tir
pouvait  --- grand
marque  --- but
avait  --- relâchement
dire  --- d
dire  --- parce
lâcher  --- emprise
voyait  --- Maradona
faire  --- signes
voilà  --- change
change  --- données
dit  --- que
crois  --- que
planté  --- pied
a  --- erreur
a  --- peu
trouve  --- ouverture
veut  --- donner
récupérer  --- ballon
commettre  --- fautes
lâchent  --- prise
pense  --- que
faire  --- touche
change  --- de
le  --- passer
franchit  --- ligne
trouver  --- Agüero
donner  --- derrière
récupéré  --- ballon
l  --- écarte
joue  --- rôle
a  --- séquence
se  --- fait
repousser  --- assauts
voudrais  --- exprimer
exprimer  --- sympathie
vivent  --- jours
partageons  --- peine
voir  --- patrimoine
redis  --- émotion
anime  --- tant
ressentons  --- fragilité
voyons  --- combien
mesurons  --- importance
faire  --- face
assurer  --- coordination
mesurons  --- prix
veut  --- retrouver
parler  --- coeur
voudrais  --- dire
dire  --- merci
vivons  --- moment
symbolisé  --- futur
vivre  --- instants
s  --- achève
possédait  --- clés
maîtrisait  --- règles
comprends  --- mouvements
ai  --- confiance
franchira  --- obstacles
l  --- fait
s  --- achève
vu  --- guerres
se  --- poursuivre
que  --- mesurons
nous  --- invitent
verront  --- an
prendront  --- sens
sais  --- que
s  --- accordent
respecter  --- droits
défendre  --- liberté
s  --- affirme
avoir  --- repos
que  --- mène
se  --- retournent
veulent  --- que
épuise  --- planète
dégradent  --- patrimoine
que  --- lèguerons
nous  --- diviser
pris  --- décisions
garantissent  --- avenir
faire  --- France
garantit  --- paix
prendre  --- part
prendre  --- part
prendre  --- aspirations
faire  --- pauvreté
avons  --- valeurs
donner  --- chance
prendre  --- part
trouver  --- place
se  --- réaliser
impose  --- que
conserve  --- place
dire  --- droit
le  --- faire
gardons  --- exigences
gardons  --- valeurs
les  --- faisant
aborder  --- temps
le  --- faire
conjuguer  --- changement
mesure  --- honneur
m  --- échoient
franchit  --- cap
a  --- plus
défricher  --- chemins
aura  --- couleurs
que  --- donnerons
que  --- soit
voudrons  --- qu
accepte  --- fatalité
rêver  --- voies
souhaite  --- &
exercé  --- quoi
sais  --- que
fait  --- mé~
suivi  --- é~
fait  --- ans
avait  --- informatique
faire  --- automatismes
a  --- de
a  --- parc
pose  --- problèmes
avais  --- travail
écrire  --- programmes
fallu  --- former
former  --- gens
connaissaient  --- rien
travailler  --- &
utiliser  --- ordinateur
connaissent  --- grand
faites  --- &
savaient  --- XXX
voyaient  --- ordinateur
savaient  --- ce
avaient  --- peur
avaient  --- peur
toucher  --- clavier
avaient  --- peur
avaient  --- impression
casser  --- machine
faut  --- &
l  --- utilises
sais  --- que
a  --- problèmes
fait  --- manoeuvre
ont  --- erreurs
fait  --- que
fallait  --- mettre
mettre  --- gens
faut  --- changer
faut  --- changer
a  --- mises
connais  --- p~
achètes  --- ordinateur
a  --- génération
conseillerais  --- de
traverser  --- jardins
suivez  --- lignes
répond  --- ça
a  --- envie
le  --- &
a  --- définition
fait  --- partie
a  --- approche
qu  --- fait
théorisé  --- ce
qu  --- fait
a  --- philosophe
fait  --- éloge
dit  --- doit
dit  --- quelque
a  --- définition
dit  --- ch~
dire  --- quoi
s  --- opposer
s  --- développée
dit  --- est
oppose  --- art
qu  --- dire
qu  --- dire
a  --- rien
qu  --- dire
faudrait  --- dire
disent  --- oui
que  --- &
comprendre  --- Nietzche
remonte  --- avenue
traverse  --- avenue
remonte  --- boulevard
se  --- retrouve
regarde  --- vitrines
a  --- air
a  --- voiture
a  --- air
décharger  --- aliments
vole  --- baguette
s  --- apprête
expliquer  --- &
compris  --- ce
le  --- v~
voit  --- dame
expliquer  --- qu
volé  --- baguette
a  --- explication
décrire  --- déplacements
prends  --- mét~
prends  --- métro
excusez  --- -
prends  --- métro
longe  --- Seine
traverse  --- passerelle
faire  --- courses
a  --- manifestations
traverse  --- quar~
traverse  --- Seine
choisi  --- affectation
savez  --- que
faire  --- ça
prend  --- &
a  --- discours
avez  --- moments
utilise  --- transports
descends  --- boulevard
me  --- promener
fais  --- courses
a  --- &
a  --- boulanger
fais  --- courses
avez  --- &
avez  --- souvenirs
avait  --- annexe
se  --- croiser
ai  --- rien
avait  --- conditions
qu  --- ont
avait  --- baraquements
voit  --- ce
qu  --- ont
garde  --- souvenir
avoue  --- qu
a  --- mal
voit  --- que
me  --- laisse
me  --- laisse
souviens  --- amenait
amenait  --- étudiant
montrer  --- ce
qu  --- faisait
avez  --- enseignants
vous  --- marqué
que  --- eus
prolonge  --- place
souviens  --- lequel
m  --- amène
rejoindre  --- place
ai  --- itinéraires
prends  --- rue
sais  --- nom
voir  --- millions
connaissez  --- sites
faire  --- rencontres
citer  --- site
compte  --- gens
échanger  --- photos
rapproche  --- monde
faut  --- connaître
connaître  --- people
avoir  --- droit
fréquenter  --- peoples
citer  --- ziki
vous  --- aider
créer  --- identité
éviter  --- qu
dise  --- n
prendre  --- devants
diffuser  --- infos
vous  --- concernent
s  --- ouvrir
partager  --- photos
organiser  --- anniversaire
donner  --- code
vous  --- retrouver
voir  --- jour
a  --- fille
a  --- voiture
le  --- voit
sortir  --- pain
a  --- fille
a  --- fille
a  --- air
a  --- mor~
voit  --- ça
dit  --- peut
récupérer  --- quelque
voler  --- baguette
a  --- Ch~
a  --- Charlot
se  --- &
se  --- rencontrent
a  --- accident
voit  --- que
dit  --- que
pense  --- qu
voit  --- fille
appelle  --- police
dit  --- qu
dire  --- que
les  --- &
l  --- pris
l  --- a
l  --- arrêter
prends  --- droit
a  --- arrêt
suis  --- ligne
ai  --- approche
mêle  --- points
traiter  --- sujet
traiter  --- sujet
le  --- voir
a  --- XXX
verrez  --- qu
a  --- formes
que  --- faire
ont  --- beaucoup
admettre  --- que
dire  --- que
dire  --- n
qu  --- appelle
avancé  --- idée
faut  --- apprendre
a  --- formes
représenter  --- choses
a  --- formes
faut  --- faire
faire  --- nombre
a  --- distinction
que  --- oublie
la  --- connaît
sait  --- agit
le  --- fabrique
le  --- produit
le  --- pratique
le  --- reçoit
l  --- expérimente
l  --- éprouve
a  --- art
a  --- aspect
éprouver  --- art
le  --- ressentir
faire  --- expérience
avoir  --- sorte
qu  --- appelle
dire  --- sensation
donné  --- &
donné  --- mot
donné  --- terme
poursuivez  --- études
le  --- verrez
commandait  --- oeuvres
les  --- achetait
avait  --- beaucoup
que  --- &
que  --- &
que  --- connaissons
faites  --- différence
pratiquez  --- musique
pratiquant  --- musique
suffit  --- que
ayez  --- baladeur
connaissiez  --- expérience
faites  --- musique
avez  --- expérience
dirais  --- que
faut  --- voir
est  --- que
a  --- fonctions
a  --- fonctions
avoir  --- fonctions
avoir  --- fonctions
avoir  --- fonctions
avoir  --- &
avoir  --- fonctions
a  --- beaucoup
a  --- sociétés
que  --- appellerai
a  --- sociétés
que  --- donne
regarder  --- ça
trouverai  --- livre
ai  --- beaucoup
en  --- ai
que  --- lisez
cherche  --- livre
que  --- lit
relis  --- un
que  --- lire
s  --- appelle
appelle  --- Au
que  --- écris
relire  --- ceux
a  --- tout
a  --- tout
relire  --- Chroniques
que  --- adore
que  --- trouve
me  --- &
m  --- obsède
a  --- espèce
eu  --- soucis
a  --- pouvoir
a  --- humour
que  --- rencontré
a  --- choses
sais  --- pourquoi
me  --- renverse
adore  --- ça
a  --- grêle
le  --- précise
avoir  --- aperçu
voudrais  --- entendre
entendre  --- ce
que  --- disiez
vous  --- attends
vouloir  --- lire
lire  --- truc
a  --- air
avez  --- pudeur
le  --- dites
l  --- écrit
se  --- retrouver
ont  --- ans
bouleverse  --- vie
feront  --- amour
prendre  --- avenue
semble  --- que
longer  --- avenue
le  --- louper
faut  --- suivre
suivre  --- ligne
vous  --- perdre
voulu  --- savoir
savoir  --- pouvais
sais  --- est
remontez  --- boulevard
s  --- appelle
sais  --- appelle
crois  --- que
rejoindre  --- tram
longer  --- quais
a  --- banque
longer  --- rails
voyez  --- MacDo
traverser  --- rails
longez  --- galeries
a  --- plein
longer  --- terrasses
passer  --- boutique
a  --- fontaine
la  --- louper
se  --- situe
a  --- rue
la  --- traverser
traverse  --- rue
traversez  --- rue
le  --- louper
a  --- kiosque
passant  --- porche
vous  --- diriger
longez  --- &
vous  --- dirigeant
sais  --- appelle
appelle  --- ça
a  --- kiosque
a  --- sortie
a  --- bulles
a  --- bâtiment
verra  --- bulles
vous  --- remercie
lorgne  --- vitrine
voit  --- garçon
transporte  --- plateaux
emprunte  --- sandwich
se  --- heurte
dénonce  --- larcin
rétablir  --- ordre
comprend  --- que
prend  --- faute
se  --- retrouve
crois  --- que
accorde  --- puissance
prendre  --- masques
a  --- moments
aime  --- cela
fait  --- plaisir
dire  --- que
rencontre  --- motivations
rencontre  --- débats
rencontre  --- autres
que  --- posez
savons  --- qu
a  --- pensée
que  --- visualise
ai  --- tendance
ai  --- tendance
l  --- entendait
a  --- ans
voulu  --- réhabiliter
réhabiliter  --- lecteur
avait  --- tâche
savez  --- que
privilégiait  --- écrivain
s  --- intéressait
faisait  --- théorie
associer  --- lecteur
a  --- jouissance
se  --- compénètrent
a  --- sorte
s  --- ébauche
tenir  --- compte
rappelez  --- mot
poser  --- question
l~  --- &
les  --- lit
les  --- lit
ont  --- sens
dit  --- que
le  --- pensez
a  --- &
crois  --- que
se  --- modifier
pense  --- que
a  --- ce
qu  --- appelait
appelait  --- écrivains
a  --- écrivains
avait  --- leaders
avait  --- Proust
avait  --- Proust
avait  --- gens
polarisaient  --- activité
faut  --- reconnaître
reconnaître  --- que
a  --- intellectuels
a  --- professeurs
a  --- gens
désigne  --- espèce
mine  --- institution
le  --- reconnaissez
a  --- homme
fait  --- charnière
